"About the data: Exported on May 03, 2025. Criteria: '(""Real Estate"" OR ""Smart Real Estate"" OR ""PropTech"" OR ""Digital Real Estate"")  AND (""Resilience"" OR ""Resilient"" OR ""Risk Management"" OR ""Crisis Response"" OR ""Disaster Preparedness"" OR ""Climate Adaptation"") AND (""Digital Transformation"" OR ""Emerging Technologies"" OR ""Artificial Intelligence"" OR ""AI"" OR ""Automation"" OR ""IoT"" OR ""Blockchain"" OR ""Big Data"" OR ""Cyber-Physical Systems"")' in title and abstract; Publication Year is 2025 or 2024 or 2023 or 2022 or 2021 or 2020 or 2019 or 2018 or 2017 or 2016.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science & Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1586,pub.1168282693,10.1007/978-981-99-8533-3,,,"Blockchain in Real Estate, Theoretical Advances and New Empirical Applications","This book provides an overview of real estate blockchain technology and its applications. It explores blockchain across industries, cryptocurrencies' impact on payment systems, money transfers, investment, and venture capital. It highlights the need for trust in digital technologies as companies reevaluate operations. The book discusses how blockchain enables secure property and land ownership management through verified transaction histories and immutable records. It also examines how smart contracts enhance property management efficiency. Blockchain has the potential to revolutionize the traditional Multi-Listing System (MLS) in real estate. By creating a transparent MLS, brokers and agents can access the complete transaction history of properties. Blockchain can also streamline registries, titles, and transactions by certifying ownership transfers and confirming financial data. However, there are regulatory and administrative challenges to overcome. Once implemented, blockchain could simplify and speed up buying and profiting from real estate globally. This book explores the implications of real estate blockchain and the opportunities and challenges. It will interest scholars, researchers, and real estate, finance, and financial technology students, real estate agents, town planners, developers, real estate experts, investors, communities. Ammar Barham Jreisat holds a Ph.D. in Finance from Western Sydney University, Australia. He is an Assistant Professor of Finance and Program Coordinator of the M.Sc. in Real Estate Development and Property Management at the University of Bahrain. He is an Associate Editor, and reviewer, and has won awards from MEEA and ERF. He has published peer-reviewed articles in leading international conference proceedings and journals. His research interests include Finance, Banking, Financial Markets, and efficiency and productivity measurement. Mehdi Mili, Ph.D., is an Associate Professor at the University of Bahrain. He received his master’s in finance and PhD in Finance from the University of Sfax, Tunisia, and the University of Poitiers, France. His research interests include fixed-income modelling, interest rate risk management, and structured products. Mehdi is a conference speaker, and his research has been published in international journals and funded by the University of Sfax and the University of Bahrain.",,,,,"Ammar Jreisat, Mehdi Mili",,2024,2024,,2024,,,,Closed,Edited Book,,,,,3,3,,,,https://app.dimensions.ai/details/publication/pub.1168282693,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment; 3504 Commercial Services; 38 Economics; 3801 Applied Economics",
1557,pub.1147299384,10.22367/srsd.2022.396.03,,,A scientometric view at real estate issues in risk management: Management research versus finance research,"PURPOSE: The aim of the paper is to map the thematic landscape of real estate research in the context of risk management and to contribute to the identification and exploration of relationships between specific constructs in the management versus finance research. DESIGN/METHOD: This article applies some scientometric techniques. A combination of topic mapping has been used, as well as the author’s and journal co-citation analyses, and overlay visualisation of main and new topics in these fields. For the purposes of bibliometric analysis, the following tools and techniques have been used: trend analysis of the number of publications, citation analysis, the word co-occurrence method, and clustering (cluster analysis). The VOSviewer software and the data analysis tools available in the SCOPUS database were used for the analysis. RESULTS/FINDINGS: The main findings of this study are: the study of real estate issues in the context of risk management is a relatively new trend in academic research, which has been intensified over the past 10 years; the problems are studied mainly from the point of view of management research, financial research and engineering research; most of the leading researchers in this field combine aspects of management with aspects of finance in their studies; a relatively new trend in the study of the real estate issues in the context of risk management is the research on the use of artificial intelligence and the analysis of the impact of climate change on these processes. ORIGINALITY/VALUE: This article makes the important contribution to real estate research in the context of risk management in management research and finance research. The analyses revealed some patterns of convergence and divergence and the diversity of topics, specialisation, and interdisciplinary engagement in the context of real estate issues in the context of risk management in management and finance research, thus offering the latest insights into the state-of-the-art of the fields. KEYWORDS: real estate, risk management, scientometric analysis. JEL: G32, R39",,,Studies in Risk and Sustainable Development,,,,2022,2022,2022,2022,396,,1-12,All OA; Green,Article,"Gorzeń-Mitka, Iwona; Czestochowa University of Technology, Faculty of Management","Gorzeń-Mitka, Iwona (); Czestochowa University of Technology, Faculty of Management ()",,"Gorzeń-Mitka, Iwona (); Czestochowa University of Technology, Faculty of Management ()",0,0,,0.0,http://sbc.org.pl/Content/570882/PDF/2022_396_03_Gorzen-Mitka.pdf,https://app.dimensions.ai/details/publication/pub.1147299384,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 46 Information and Computing Sciences; 4610 Library and Information Studies",
1554,pub.1155904676,10.22367/srsd.2022.396.3,,,A scientometric view at real estate issues in risk management: Management research versus finance research,"PURPOSE: The aim of the paper is to map the thematic landscape of real estate research in the context of risk management and to contribute to the identification and exploration of relationships between specific constructs in the management versus finance research. DESIGN/METHOD: This article applies some scientometric techniques. A combination of topic mapping has been used, as well as the author’s and journal co-citation analyses, and overlay visualisation of main and new topics in these fields. For the purposes of bibliometric analysis, the following tools and techniques have been used: trend analysis of the number of publications, citation analysis, the word co-occurrence method, and clustering (cluster analysis). The VOSviewer software and the data analysis tools available in the SCOPUS database were used for the analysis. RESULTS/FINDINGS: The main findings of this study are: the study of real estate issues in the context of risk management is a relatively new trend in academic research, which has been intensified over the past 10 years; the problems are studied mainly from the point of view of management research, financial research and engineering research; most of the leading researchers in this field combine aspects of management with aspects of finance in their studies; a relatively new trend in the study of the real estate issues in the context of risk management is the research on the use of artificial intelligence and the analysis of the impact of climate change on these processes. ORIGINALITY/VALUE: This article makes the important contribution to real estate research in the context of risk management in management research and finance research. The analyses revealed some patterns of convergence and divergence and the diversity of topics, specialisation, and interdisciplinary engagement in the context of real estate issues in the context of risk management in management and finance research, thus offering the latest insights into the state-of-the-art of the fields. KEYWORDS: real estate, risk management, scientometric analysis. JEL: G32, R39",,,Studies in Risk and Sustainable Development,,,,2022,2022,2022,2022,396,,1-12,All OA; Green,Article,"Gorzeń-Mitka, Iwona; Czestochowa University of Technology, Faculty of Management","Gorzeń-Mitka, Iwona (); Czestochowa University of Technology, Faculty of Management ()",,"Gorzeń-Mitka, Iwona (); Czestochowa University of Technology, Faculty of Management ()",0,0,,0.0,http://sbc.org.pl/Content/570882/PDF/2022_396_03_Gorzen-Mitka.pdf,https://app.dimensions.ai/details/publication/pub.1155904676,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 46 Information and Computing Sciences; 4610 Library and Information Studies",
1552,pub.1110717734,10.1007/978-3-030-04009-3,,,"Invitations to Tender for Facility Management Services, Process Mapping, Service Specifications and Innovative Scenarios","This book deals with Invitations to Tender (ITTs) for the provision of Facility Management (FM) services. It presents a framework to support companies in preparing clear, comprehensive and effective ITTs, focusing on such key aspects as: organizational structures, tools and procedures for managing information, allocation of information responsibilities, procedures for services monitoring and control, quality policies, and risk management. It discusses and analyzes a range of basic terms and concepts, procedures, and international standards concerning the Tendering Process, as well as the contents of ITTs, which should represent the translation of information needs into requirements related to: the client’s goals, main categories of information to deal with, expected organization of information, modalities of reporting and control, and level of knowledge to be reached. A further major focus is on potential key innovation scenarios concerning current FM practice, such as Sustainable Procurement, Building Information Modeling (BIM), Big Data and Internet of Things (IoT) technologies, highlighting both the possible benefits and the possible risks and implications that could negatively affect the quality of FM service provision if not properly treated within the ITT. The book will be of interest to real estate owners, demand organizations and facility managers, enhancing their ability to prepare, interpret and/or critically analyze ITTs.",,,Springer Tracts in Civil Engineering,,,,2019,2019,,2019,,,,Closed,Monograph,"Talamo, Cinzia; Atta, Nazly","Talamo, Cinzia (Department of Architecture, Built Environment and Construction Engineering, Politecnico di Milano, Milan, Italy); Atta, Nazly (Department of Architecture, Built Environment and Construction Engineering, Politecnico di Milano, Milan, Italy)",,"Talamo, Cinzia (Politecnico di Milano); Atta, Nazly (Politecnico di Milano)",9,3,,2.55,,https://app.dimensions.ai/details/publication/pub.1110717734,"33 Built Environment and Design; 3302 Building; 35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour",
1547,pub.1183573107,10.1109/icebe62490.2024.00039,,,Blockchain-Based Joint Ownership Group Formation,"Joint ownership in real estate, while offering advantages such as risk sharing and resource pooling, faces significant challenges related to trust and legal complexities, particularly as traditional methods struggle to maintain transparency and efficiency in evolving market conditions. This study addresses these issues by proposing a method which integrates blockchain technology with real estate joint ownership, focusing on the development and deployment of a smart matching algorithm in a blockchain-based joint ownership platform. The smart matching algorithm is crucial for efficiently pairing co-owners with aligned interests and trust levels, minimizing conflicts and ensuring cohesive group dynamics. A systematic analysis of performance metrics, such as execution times, resource usage, and security vulnerabilities, is performed. The experiment results indicate substantial improvements in operational efficiency and security: user verification is processed in approximately 0.00057 seconds per user, group creation in about 0.00017 seconds, and smart matching in 0.00013 seconds. Additionally, the platform demonstrates minimal gas consumption for key operations and low memory usage and is resilient to common attacks like Sybil and front-running with no critical vulnerabilities detected. These findings suggest that blockchain technology can significantly enhance transparency, efficiency, and security in managing joint ownership in real estate, offering a promising pathway for revolutionizing real estate investments through advanced technological integration.",,,,2024 IEEE International Conference on e-Business Engineering (ICEBE),,,2024-10-13,2024,,2024-10-13,00,,206-211,Closed,Proceeding,"Almalki, Mohanad A.; Abualhamayl, Abdullah J.; Alyoubi, Abdulmajeed A.; Al-Doghman, Firas; Hussain, Farookh Khadeer","Almalki, Mohanad A. (School of Computer Science, University of Technology, Sydney, Ultimo NSW, 2007); Abualhamayl, Abdullah J. (School of Computer Science, University of Technology, Sydney, Ultimo NSW, 2007); Alyoubi, Abdulmajeed A. (School of Computer Science, University of Technology, Sydney, Ultimo NSW, 2007); Al-Doghman, Firas (School of Computer Science, University of Technology, Sydney, Ultimo NSW, 2007); Hussain, Farookh Khadeer (School of Computer Science, University of Technology, Sydney, Ultimo NSW, 2007)",,"Almalki, Mohanad A. (University of Technology Sydney); Abualhamayl, Abdullah J. (University of Technology Sydney); Alyoubi, Abdulmajeed A. (University of Technology Sydney); Al-Doghman, Firas (University of Technology Sydney); Hussain, Farookh Khadeer (University of Technology Sydney)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1183573107,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy,
1532,pub.1185927555,10.58496/mjcs/2025/010,,,Improved Blockchain Technique based on Modified SLIM Algorithm for Cyber Security,"The number of cybersecurity incidents is increasing, and the cost of a security breach has a catastrophic financial effect. The existing real estate information systems require more robust and resilient cybersecurity solutions to secure hardware, software, and databases. Cybersecurity often relies on user behavior. Phishing attacks and social engineering can bypass blockchain security, highlighting the need for robust user education and awareness. Many blockchain networks face challenges in handling a high volume of transactions. Solutions that work well on a small scale may not perform efficiently as the network grows, leading to delays and increased costs. A secure system is a significant area in cybersecurity that protects digital transactions from unauthorized access. This paper proposes a new real estate transaction encryption scheme using the modified SLIM cryptography algorithm in the context of blockchain based on a 2Dimension Chialvo map with high nonlinearity generation of the substitution box (S-Box) to make it robust against many linear attacks, which is a novel approach to enhancing transaction speed and security. Modifying lightweight SLIM cryptography is highly resistant to linear and differential cryptanalysis attacks, providing adequate protection. The modified lightweight SLIM cryptography applies to wireless networks, IoT applications, and real estate systems. The performance analysis of the blockchain shows that it completes transactions in a short time of approximately 29.368877 in milliseconds and satisfies the Bit Independence Criterion (BIC) and Hamming Distance (HD) tests above 50%, the new hash will be regarded as good and trustworthy. The performance analysis of the proposed S-Box shows that it has high nonlinearity and satisfies the Strict Avalanche Criteria (SAC), BIC, balanced, and low linearity/differential probability. In addition, the strength and randomness of the random number generators are analyzed via a set of tests and guidelines provided by the National Institute of Standards and Technology (NIST) tests (approximately 97%) to ensure that the generated random data are sufficiently unpredictable and suitable for cryptographic applications.",,,Mesopotamian Journal of CyberSecurity,,,,2025-02-20,2025,2025-02-20,,5,1,147-164,Closed,Article,"Shareef, Sarah Mohammed; Hassan, Rehab Flaih","Shareef, Sarah Mohammed (); Hassan, Rehab Flaih ()",,"Shareef, Sarah Mohammed (); Hassan, Rehab Flaih ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1185927555,46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,
1468,pub.1186630010,10.5194/egusphere-egu25-78,,,"Enhancing Community Resilience, Flood Risk Assessment, and Decision-Making in the Face of Extreme Weather Events","Recent catastrophic storms and flood events—including Hurricanes Helene and Milton (2024), Ian (2022) in the United States, and severe floods in Valencia, Spain (2024), Belgium, and Germany (2021)—highlight the critical need for comprehensive resilience planning in coastal and riverine communities. With a global rise in both the frequency and severity of weather and climate disasters, coastal regions are increasingly vulnerable, facing significant risks and economic losses. This work presents an integrated framework to support flood resilience and optimize evacuation strategies by leveraging big data, high-resolution flood and storm surge models, and advanced predictive tools. This framework combines high-resolution computational fluid dynamics and finite element models to evaluate flood damage and structural vulnerability under different hurricane intensities. By capturing both aleatory and epistemic uncertainties in hazard assessment, building resilience, and community preparedness, it provides a robust basis for proactive flood risk management. The framework also includes a multidimensional flood-damage assessment model, which goes beyond traditional depth–damage relationships by incorporating building-specific factors such as height, age, configuration, and construction material. Structural resilience is calculated as a function of recovery time, community preparedness, and the severity of flood-induced damage, thus enabling a detailed, community-scale risk assessment. Validated through large-scale storm surge and 2D inundation simulations, this framework offers actionable insights for emergency managers, policymakers, and local stakeholders. By integrating hydrodynamics, structural data, and socio-economic factors, this comprehensive approach empowers communities with data-driven resources for making informed decisions to reduce risk and improve adaptive capacity. This framework is positioned to be highly impactful for diverse users—including property owners, insurance companies, real estate businesses, and regional decision-makers—as it addresses the complex challenges of flood resilience in the face of increasing extreme weather events.",,,,,,,2025-04-01,2025,2025-04-01,,,,,Closed,Article,"Nazari, Rouzbeh; Karimi, Maryam","Nazari, Rouzbeh (); Karimi, Maryam ()",,"Nazari, Rouzbeh (); Karimi, Maryam ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1186630010,37 Earth Sciences; 3701 Atmospheric Sciences; 3709 Physical Geography and Environmental Geoscience,11 Sustainable Cities and Communities; 13 Climate Action
1460,pub.1168844479,10.2478/amns-2024-0182,,,Optimization of economic management mode and risk control based on the background of big data,"Abstract In this paper, the enterprise data is processed without outline, PCA is used for data dimensionality reduction SVM is used to categorize the dimensionality reduction data, and the prediction of future trends is made based on the categorization situation. The PCA-SVM risk control model based on big data is established, and the PSO particle swarm algorithm is used to find the optimal parameters for SVM to improve its classification performance and optimize the prediction of enterprise management risks. In order to test the effect of risk management and control optimization, data processing is carried out for two types of companies, namely, banking and real estate industries, and predictions are made for their future operation based on the processing results. During the period from 2022Q1 to 2022Q2, the CSI banking index falls from 0.11 to −0.59; the output of this paper’s model is 1, i.e., there is a risk, and it is predicted that the values of Q1 and Q2 in 2024 are 1, and a financial risk may occur. The PCA-SVM model has a 95% determination rate for training samples, and it can predict low-risk sample companies accurately with a comprehensive error rate of only 6.67%. The data proves that the model can effectively predict the future risk status of enterprises according to the existing information and provide optimization reference for enterprises to change their economic management mode.",,,Applied Mathematics and Nonlinear Sciences,,,,2024-01-01,2024,2024-01-31,2024-01-01,9,1,20240182,All OA; Gold,Article,"Chen, Yiran","Chen, Yiran (Longshan Honors School, Shandong University of Finance and Economics, Jinan, Shandong, 250220, China, .)","Chen, Yiran (Shandong University of Finance and Economics)","Chen, Yiran (Shandong University of Finance and Economics)",2,2,,,https://sciendo.com/pdf/10.2478/amns-2024-0182,https://app.dimensions.ai/details/publication/pub.1168844479,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4605 Data Management and Data Science",
1435,pub.1181361747,10.1016/j.procs.2024.09.108,,,Research on the Financial Credit Risk Management Model of Real Estate Supply Chain Based on GA-SVM Algorithm: A Comprehensive Evaluation of AI Model and Traditional Model,"By combining machine learning AI model with traditional credit risk measurement model, this paper aims to more accurately measure the credit default risk of real estate enterprises. Through professional credit management knowledge, the integration of these two models can fill the gaps of traditional models outside of financial data, and use the research experience of traditional models in the financial field to provide guidance for machine learning. This paper focuses on the key issues of capital intensity, exploration of Supply Chain Finance Growth and Credit Risk Control within the Real Estate Sector. By combining qualitative and quantitative methods. Through literature research and empirical analysis, this paper develops a supply chain finance credit risk assessment index system tailored for small and medium-sized enterprises operating in China's real estate sector. The index system comprises 23 risk assessment indicators, and comprehensively considers many factors such as corporate financial status and market environment. Then, a credit risk assessment model for small and medium-sized real estate enterprises is developed from a supply chain finance perspective, utilizing genetic algorithm optimization for Support Vector Machine (GA-SVM)., and the advantages of this model compared with the traditional model in accuracy and generalization ability are verified through comparative analysis of experiments. The research results can help reduce the information asymmetry in the real estate industry, enhance the credit rating evaluation process for small and medium-sized enterprises, and furnish references to aid commercial banks in credit and credit risk management within the real estate supply chain finance sector.which has important theoretical and practical value.",,,Procedia Computer Science,,,,2024,2024,,2024,243,,900-909,All OA; Gold,Article,"Bao, Wenqing; Xu, Ke; Leng, Qian","Bao, Wenqing (Americold Logistics, LLC, Atlanta, GA, 30319, USA); Xu, Ke (UBS Business Solutions US LLC, Jersey city, NJ, 07302, USA); Leng, Qian (University of Maryland Eastern Shore, Princess Anne, USA)",,"Bao, Wenqing (Americold Logistics, LLC, Atlanta, GA, 30319, USA); Xu, Ke (UBS Business Solutions US LLC, Jersey city, NJ, 07302, USA); Leng, Qian (University of Maryland Eastern Shore)",0,0,,,http://dx.doi.org/10.1016/j.procs.2024.09.108,https://app.dimensions.ai/details/publication/pub.1181361747,46 Information and Computing Sciences,
1428,pub.1164437926,10.34190/ecie.18.1.1738,,,A Literature Review and Emerging Trends on Key Topics of Risks and Challenges Facing Tourism Real Estate Investments,"Tourism real estate entrepreneurs and general real estate investments face a multitude of risks and challenges that can impact their success. These risks can stem from economic, environmental, and political factors. Economical risks such as inflation and recession can affect the demand for real estate investments. Environmental risks such as natural disasters or climate change can lead to damage to the property and the desirability of the location. Political risks such as changes in regulations or geopolitical tensions can also affect the success of the investment. This paper conducts a literature review in order to mitigate these risks for entrepreneurs and real estate investors before making investment decision. This paper includes analyzing the local market, understanding the demographic trends, and identifying potential challenges that may arise. Moreover, the implementation of risk management strategies and the existence of a contingency plan can contribute to the stability and sustainability of this type of investment with a focus on real estate, especially tourism real estate. Further research and analysis are needed to better understand the impacts of technological advancements on the real estate industry. Advancements such as virtual reality and blockchain technology have the potential to revolutionize the industry, but there is still much to learn about how they will affect the market. Additionally, the impacts of climate change on the real estate industry need to be further explored. As extreme weather events become more frequent, it is important to understand how this will impact the desirability of certain locations and the potential for property damage. In conclusion, the risks and challenges facing tourism real estate entrepreneurs and general real estate investments are numerous and varied. It is essential for investors to conduct thorough research and analysis before making any investment decisions and to implement risk management strategies to protect against unexpected events.",,,European Conference on Innovation and Entrepreneurship,,,,2023-09-18,2023,2023-09-18,,18,1,39-47,All OA; Hybrid,Article,"Anastasopoulos, Ioannis; Varelas, Sotirios","Anastasopoulos, Ioannis (); Varelas, Sotirios ()",,"Anastasopoulos, Ioannis (); Varelas, Sotirios ()",1,1,,1.1,https://papers.academic-conferences.org/index.php/ecie/article/download/1738/1496,https://app.dimensions.ai/details/publication/pub.1164437926,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 3508 Tourism; 38 Economics; 3801 Applied Economics",13 Climate Action
1424,pub.1182687053,10.37745/ejaafr.2013/vol12n103251,,,Financial Sustainability and Technology Integration in Oil & Gas Cooperatives: Opportunities and Challenges,"The oil and gas sector remains a critical component of the global economy, contributing significantly to energy supply, employment, and economic development. However, with growing environmental concerns, market volatility, and operational complexities, maintaining sustainable operations has become increasingly challenging for industry players. This paper delves into the role of financial sustainability and technology integration within oil and gas cooperatives, focusing on the opportunities and challenges that arise from this dual approach. The paper highlights the importance of cooperatives in addressing these challenges by ensuring operational efficiency, fostering innovation, and promoting sustainable development. The integration of advanced technologies such as Artificial Intelligence (AI) and the Internet of Things (IoT) offers substantial benefits for cooperatives operating in the oil and gas sector. These technologies enable organizations to optimize resource allocation, streamline operational workflows, and implement predictive maintenance models to reduce downtime and equipment failure. Furthermore, IoT-based monitoring systems ensure real-time visibility of key operational metrics, allowing for proactive risk management. Financial sustainability, on the other hand, involves implementing robust financial models to manage cash flows effectively, forecast economic risks, and align business strategies with market demands. The interplay between financial sustainability and technology integration allows cooperatives to maximize profitability while reducing environmental impact, contributing to broader sustainability goals. A case study on Shell Nigeria’s Cooperative Society in Port Harcourt is presented to provide practical insights into the application of these principles. The study demonstrates how Shell’s cooperative has utilized IoT-based solutions and predictive financial models to ensure sustainable growth and efficient project execution. The cooperative plays a pivotal role in managing employees’ thrift and loan operations, generating significant value through real estate investments and technology-driven initiatives. By adopting innovative tools and sustainable practices, the cooperative not only ensures operational resilience but also contributes to socio-economic development in the communities it serves. Mathematical models, such as Net Present Value (NPV) analysis, are employed to illustrate the financial optimization strategies used by Shell Nigeria’s cooperative in evaluating project profitability. Diagrams depicting the integration of technology and financial systems further highlight the efficiency and effectiveness of this approach. Through these models, the paper demonstrates how financial decision-making is enhanced, ensuring that investments align with long-term sustainability goals. This study explores the broader implications of integrating technology with financial sustainability in oil and gas cooperatives. It emphasizes the importance of building public-private partnerships to attract investment and foster technological innovation. Additionally, the paper discusses the regulatory landscape and the need for cooperatives to align with global sustainability standards. The findings suggest that cooperatives in the oil and gas sector have a unique opportunity to drive economic resilience and environmental stewardship through effective financial management and advanced technology deployment. The paper provides actionable recommendations for cooperatives seeking to achieve financial sustainability and operational efficiency through technology integration. These recommendations include upskilling employees, enhancing data management capabilities, and establishing strategic partnerships to overcome challenges. The research underscores the importance of cooperatives in achieving sustainable development within the oil and gas sector, making a compelling case for aligning business strategies with emerging technologies and financial best practices. This approach ensures long-term resilience and contributes to broader national and global sustainability goals.",,,European Journal of Accounting Auditing and Finance Research,,,,2024-10-15,2024,2024-10-15,2024-10-26,12,10,32-51,All OA; Gold,Article,"Tijani, Blessyn Kanmi","Tijani, Blessyn Kanmi ()",,"Tijani, Blessyn Kanmi ()",0,0,,,https://doi.org/10.37745/ejaafr.2013/vol12n103251,https://app.dimensions.ai/details/publication/pub.1182687053,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour","11 Sustainable Cities and Communities; 12 Responsible Consumption and Production; 7 Affordable and Clean Energy; 8 Decent Work and Economic Growth; 9 Industry, Innovation and Infrastructure"
1417,pub.1184492648,10.35631/ijirev.619020,,,THE ROLE OF AIRPORT RETAILING IN BUILDING RESILIENT AND SUSTAINABLE AIRPORT BUSINESSES,"Globally, airports are under growing pressure to enhance their resilience, foster growth, and ensure sustainability. In this context, non-aeronautical revenue has become vital in establishing prosperous airport businesses. This revenue encompasses income from activities outside core aviation operations, including retail activities, parking, and real estate. Through a thematic synthesis, this research integrates existing airport retailing literature by examining 19 selected studies published between 2021 and 2024. The study highlights key themes already explored and identifies areas that require further investigation. It was found that current research mainly focuses on food and beverage outlets and duty-free stores as primary retail revenue sources. Future studies should consider the impact of emerging technologies on airport retailing and examine passenger behaviour. This study aims to provide valuable insights into the evolving landscape of airport retailing amidst changing industry trends.",,,International Journal of Innovation and Industrial Revolution,,,,2024-12-31,2024,2024-12-31,,6,19,254-267,All OA; Gold,Article,"Shiyas K. M., Muhammed; Kumar, Chitresh; Ganguly, Anirban","Shiyas K. M., Muhammed (Jindal Global Business School, O. P. Jindal Global University, Sonipat, Haryana 131001, India); Kumar, Chitresh (Jindal Global Business School, O. P. Jindal Global University, Sonipat, Haryana 131001, India); Ganguly, Anirban (Jindal Global Business School, O. P. Jindal Global University, Sonipat, Haryana 131001, India)",,"Shiyas K. M., Muhammed (O. P. Jindal Global University); Kumar, Chitresh (O. P. Jindal Global University); Ganguly, Anirban (O. P. Jindal Global University)",1,1,,,https://doi.org/10.35631/ijirev.619020,https://app.dimensions.ai/details/publication/pub.1184492648,"33 Built Environment and Design; 35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 3509 Transportation, Logistics and Supply Chains",11 Sustainable Cities and Communities
1416,pub.1183066769,10.1145/3700523.3700528,,,Early Warning Research on Financial Risks of Listed Companies in Real Estate Industry Based on BP Neural Networks,"Abstract: In recent years, with the frequent outbreak of financial crisis of Chinese real estate enterprises, the financial risk of real estate industry has become more and more prominent, which has aroused extensive attention from all walks of life. In the face of the complex and changing market environment and potential financial risks, the establishment of an effective financial risk early warning model has become a key initiative for real estate enterprises to prevent and resolve risks. Taking listed real estate companies in 2018-2023 as the research object, this paper establishes a set of comprehensive and accurate financial risk early warning model by constructing an early warning indicator system containing financial and non-financial indicators, and applying BP (back propagation) neural network algorithm in the field of artificial intelligence. The model takes into full consideration of the financial status of real estate enterprises, operational performance, market environment and other factors, and can effectively capture the potential financial risk signals, providing an important basis for enterprise risk management and decision-making. Through empirical research, this paper verifies that the constructed BP neural network financial risk early warning model has good predictive ability and practical application value. The model can accurately identify all kinds of financial risks faced by real estate enterprises, including liquidity risk, debt service risk, profitability risk, etc., which provides scientific guidance for enterprises to adjust their business strategies and optimize resource allocation in time. The research results of this paper provide valuable theoretical references and practical guidance for the prevention and control of financial risks in the real estate industry, and are of great significance to the promotion of the healthy and sustainable development of the real estate industry.",,,,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and Algorithms",,,2024-09-27,2024,2024-12-04,2024-09-27,,,16-21,Closed,Proceeding,"Xu, Xiaoyan; Lan, Suying; Li, Wenji","Xu, Xiaoyan (Guangxi Vocational Normal University, Nanning, China, 574611765@qq.com); Lan, Suying (Guangxi Vocational University of Agriculture, Nanning, China, 417855075@qq.com); Li, Wenji (Guangxi Vocational Normal University, Nanning, China, 1129717379@qq.com)","Lan, Suying (Guangxi Vocational University of Agriculture, Nanning, China, 417855075@qq.com)","Xu, Xiaoyan (Guangxi Vocational Normal University, Nanning, China, 574611765@qq.com); Lan, Suying (Guangxi Vocational University of Agriculture, Nanning, China, 417855075@qq.com); Li, Wenji (Guangxi Vocational Normal University, Nanning, China, 1129717379@qq.com)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1183066769,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment; 3504 Commercial Services",
