"About the data: Exported on May 03, 2025. Criteria: '(""Real Estate"" OR ""Smart Real Estate"" OR ""PropTech"" OR ""Digital Real Estate"")  AND (""Sustainability"" OR ""Sustainable"" OR ""Green Building"" OR ""Energy Efficiency"" OR ""Net-Zero"")  AND (""Digital Transformation"" OR ""Emerging Technologies"" OR ""Artificial Intelligence"" OR ""AI"" OR ""Automation"" OR ""IoT"" OR ""Blockchain"" OR ""Big Data"" OR ""Cyber-Physical Systems"")' in title and abstract; Publication Year is 2025 or 2024 or 2023 or 2022 or 2021 or 2020 or 2019 or 2018 or 2017 or 2016.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science & Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1867,pub.1150681987,10.1007/978-981-19-5256-2,,,Proceedings of the 26th International Symposium on Advancement of Construction Management and Real Estate,"This book of CRIOCM 2021 (26th International Conference on Advancement of Construction Management and Real Estate) presents the latest developments in real estate and construction management around the globe. The conference was organized by the Chinese Research Institute of Construction Management (CRIOCM) working in close collaboration with Tsinghua University. Written by international academics and professionals, the book discusses the latest achievements, research findings and advances in frontier disciplines in the field of construction management and real estate. Covering a wide range of topics, including building information modeling, big data, geographic information systems, housing policies, management of infrastructure projects, intelligent construction and smart city, real estate finance and economics and urban planning and sustainability, the discussions provide valuable insights into the implementation of advanced construction project management and real estate market in China and abroad. The book offers an outstanding resource for academics and professionals.",,,Lecture Notes in Operations Research,,"Hongling Guo, Dongping Fang, Weisheng Lu, Yi Peng",,2022,2022,,2022,,,,Closed,Edited Book,,,,,1,1,,0.44,,https://app.dimensions.ai/details/publication/pub.1150681987,"33 Built Environment and Design; 3302 Building; 35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 40 Engineering; 4005 Civil Engineering",11 Sustainable Cities and Communities
1848,pub.1185273422,10.1049/tje2.70063,,,Dynamic smart contracts framework on Ethereum private blockchain for real estate management,"Abstract Blockchain technology enables the recording of information in an immutable manner, making it extremely difficult or nearly impossible to alter, hack, or manipulate. Its adoption is expected to enhance long‐term economic sustainability across various industries, including real estate. Traditional real estate transactions typically involve third‐party intermediaries to record and validate informal transactions. However, blockchain technology has the potential to revolutionize the real estate sector by transforming how properties are bought and sold. Features such as efficiency, transparency, process automation through smart contracts, robust consensus mechanisms, and enhanced security measures can reshape the real estate landscape by increasing efficiency and reducing costs. This paper explores the challenges currently faced by the real estate industry and reviews the literature on the disruptive impact of blockchain technology in this sector. A conceptual framework for a private blockchain is proposed based on the Ethereum platform, utilizing proof of authority as the consensus mechanism, specifically designed for property transactions. The proposed model integrates self‐sovereign identity for secure and decentralized identity management, incorporates digital wallets for transaction management, and leverages smart contracts to automate processes. This approach enhances transparency in digital transactions, thereby fostering greater trust between users and service provider.","ACKNOWLEDGEMENTS The research work of Muhammad Faheem is supported by VTT Technical Research Centre of Finland Ltd., Espoo. CONFLICT OF INTEREST STATEMENT The authors declare no conflicts of interest.",,The Journal of Engineering,,,,2025-01,2025,2025-02-05,2025-01,2025,1,,All OA; Gold,Article,"Jamshed, Huma; Waheed, Urooj; Iqbal, Shahid; Faheem, Muhammad; Ashraf, Muhammad Waqar; Mansoor, Yusra","Jamshed, Huma (Department of Computer Science, DHA Suffa University, Karachi, Sindh, Pakistan); Waheed, Urooj (Department of Computer Science, DHA Suffa University, Karachi, Sindh, Pakistan); Iqbal, Shahid (Department of Computer Engineering, Bahauddin Zakriya University, Multan, Pakistan); Faheem, Muhammad (School of Technology and Innovations, University of Vaasa, Vaasa, Finland; VTT Technical Research Centre of Finland Ltd., Espoo, Finland); Ashraf, Muhammad Waqar (Department of Computer Engineering, Bahauddin Zakriya University, Multan, Pakistan); Mansoor, Yusra (Department of Computer Science, DHA Suffa University, Karachi, Sindh, Pakistan)","Faheem, Muhammad (University of Vaasa; VTT Technical Research Centre of Finland)","Jamshed, Huma (DHA Suffa University); Waheed, Urooj (DHA Suffa University); Iqbal, Shahid (Department of Computer Engineering, Bahauddin Zakriya University, Multan, Pakistan); Faheem, Muhammad (University of Vaasa; VTT Technical Research Centre of Finland); Ashraf, Muhammad Waqar (Department of Computer Engineering, Bahauddin Zakriya University, Multan, Pakistan); Mansoor, Yusra (DHA Suffa University)",2,2,,,https://doi.org/10.1049/tje2.70063,https://app.dimensions.ai/details/publication/pub.1185273422,40 Engineering,
1824,pub.1124458641,10.1007/978-3-030-35314-8,,,"Modern Facility and Workplace Management, Processes, Implementation and Digitalisation","This book adopts a multidimensional approach to explain current practices and trends in facility management. Presenting both research and practical insights from around the globe and providing definitions, examples and case studies, it allows readers to gain an understanding of corporate real estate, as well as asset, property, and facility management in the context of digital transformation, sustainability practice and process optimisation. The authors also discuss the latest trends in workplace management, the use of emerging technologies to optimise provision of facility services, and change management to implement new processes and reporting. A good mix of theory and practice, including several examples, provide a constructive learning experience to the reader.",,,Classroom Companion: Business,,Alexander Redlein,,2020,2020,,2020,,,,Closed,Edited Book,,,,,3,0,,1.03,,https://app.dimensions.ai/details/publication/pub.1124458641,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour",
1808,pub.1170012153,10.1109/scout58937.2023.00006,,,Message from Program Chair Scout 2023,"Smart cities are at the forefront of urban transformations, utilizing technology to enhance various aspects of urban life. Integrating smart home technology and real estate development holds immense potential within this context. This conference SCOUT-2023 has been themed on “Smart Home Technology & Real Estate Development” explores the relationship between smart home technology, real estate development, and the broader challenges and outcomes associated with smart city initiatives. Specifically, it delves into the transformative impact of smart home technology, the integration of smart homes within real estate projects, and the implications for urban transformations within the framework of the SCOUT-2023 conference. The Transformative Potential of Smart Home Technology Smart home technology, encompassing Internet of Things (IoT) devices, automation systems, and connectivity solutions, has emerged as a powerful catalyst for urban transformations. These technologies offer residents numerous benefits, including increased energy efficiency, enhanced security, and improved comfort and convenience. By incorporating sensors, smart appliances, and automated systems, smart homes optimize energy consumption, reduce waste, and contribute to sustainable living. The IoT enables seamless connectivity and communication between devices, allowing residents to remotely control and monitor various aspects of their homes. For example, intelligent thermostats can adjust temperature settings based on occupancy, resulting in energy savings. Lighting control systems can automatically adjust brightness based on natural light levels, reducing electricity consumption. Furthermore, smart security systems provide residents with remote access and monitoring capabilities, enhancing safety and peace of mind. Smart home technology also plays a vital role in water conservation by implementing smart irrigation systems that monitor weather conditions and adjust watering schedules accordingly. These transformative potentials of smart home technology contribute to cities' overall sustainability and resource efficiency.",,,,2023 Smart City Challenges &amp; Outcomes for Urban Transformation (SCOUT),,,2023-07-30,2023,,2023-07-30,00,,xiii-xvi,All OA; Bronze,Proceeding,"Patnaik, Srikanta","Patnaik, Srikanta (IIMT, Bhubaneswar, India)",,"Patnaik, Srikanta (IIMT, Bhubaneswar, India)",0,0,,0.0,https://ieeexplore.ieee.org/ielx7/10466781/10466783/10467019.pdf,https://app.dimensions.ai/details/publication/pub.1170012153,46 Information and Computing Sciences; 4605 Data Management and Data Science,11 Sustainable Cities and Communities; 7 Affordable and Clean Energy
1804,pub.1151455261,10.1080/15214842.2022.2067101,,,"Blockchain, Cryptocurrency, and Real Estate: The Current Situation and Prospects for the Next 5 Years","Blockchain technology is a platform for transactions and investment. It includes Cryptocurrencies, of which there are dozens of investment vehicles. Bitcoin and Ethereum are the best known. Crypto is an emerging asset class and offers some portfolio diversification benefits and attractive return rates. Some crypto investments are stablecoins and are tethered to underlying currencies like the US dollar. Blockchain allows ease of access and transparency and provides a cloak of pseudonymity, which may be incompatible with owning real estate, which generally has ownership and transactions as public records. This article provides a brief primer on the intersection of blockchain, cryptocurrencies, and real property. It reviews the various ways that these emerging technologies and instruments are used in real estate investment today. We investigate a blockchain-oriented investment platform, RealT, and report on their business model and customer-servicing interface. Their model offers tokenized real estate to a wide range of qualified investors, and many of the occupied houses feature secure cash flows in the form of Section 8 tenants. If properly developed, the model appears sustainable and can rejuvenate inner-city residential property markets and open the door for a greater ROE for not-for-profit groups.",,,Journal of Real Estate Practice and Education,,,,2022-09-29,2022,2022-09-29,2022-12-31,24,1,72-85,All OA; Gold,Article,"Simons, Robert A.; Simons, Samuel T.","Simons, Robert A. (Levin College of Urban Affairs, Cleveland State University, Cleveland, OH, USA); Simons, Samuel T. (Smith School of Business, University of Maryland, College Park, MD, USA)","Simons, Robert A. (Cleveland State University)","Simons, Robert A. (Cleveland State University); Simons, Samuel T. (University of Maryland, College Park)",7,7,,4.77,https://doi.org/10.1080/15214842.2022.2067101,https://app.dimensions.ai/details/publication/pub.1151455261,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services",
1789,pub.1174677614,10.21608/auej.2024.254939.1518,,,THE ROLE OF ARTIFICIAL INTELLIGENCE IN ACHIEVING SUSTAINABLE MAINTENANCE IN RESIDENTIAL BUILDING,"In light of the emergence of the concept of artificial intelligence (AI) and its various applications, it has become imperative to seek different solutions to address the accumulation of problems and deficiencies in residential buildings and avoid traditional periodic maintenance practices. This research fundamentally discusses the role of AI in achieving sustainable maintenance through its strategies to extend the assumed lifespan of the building and preserve residential real estate assets. This research assumes that the implementation of intelligent exploratory methods offers an effective solution by enabling unsupervised algorithms to efficiently find deviants from a large amount of data. AI is beneficial for both real-time and post-event processing. Where it can be applied to activate large amounts of data and have a chance of making sense of the data, various solutions can be achieved for sustainable maintenance in residential buildings to bridge the gap between the different sustainable maintenance programmes and their actual application, which is the primary objective of the research. The researcher will employ a theoretical framework to elucidate the concepts of sustainable maintenance, the assumed lifespan of a building, and AI applications. Subsequently, an analytical framework was used to analyze various international projects (the case studies) and identify the various strengths resulting. then will conclude by employing an applied framework to facilitate the implementation of smart exploratory methods through the benefits of results and recommendations to achieve sustainable maintenance, prolong the assumed lifespan of the building, and preserve residential real estate assets. Special Issue of AEIC 2024 (Sustainable Architecture and Urban Design Session)",,,Journal of Al-Azhar University Engineering Sector,,,,2024-07-01,2024,2024-07-01,2024-07-01,19,72,200-219,Closed,Article,"Mohamed, Norhan Abdelwahab; Khorshid, Khaled Moustafa; Hassan, Mohamed Sobhy","Mohamed, Norhan Abdelwahab (Ministry of Housing and Utilities, The new administrative capital, Cairo, Egypt; Department of Architecture, Faculty of Engineering, Al-Azhar University, Nasr City, 11884, Cairo, Egypt); Khorshid, Khaled Moustafa (Department of Architecture, Faculty of Engineering, Al-Azhar University, Nasr City, 11884, Cairo, Egypt); Hassan, Mohamed Sobhy (Department of Architecture, Faculty of Engineering, Al-Azhar University, Nasr City, 11884, Cairo, Egypt)",,"Mohamed, Norhan Abdelwahab (Ministry of Housing and Utilities, The new administrative capital, Cairo, Egypt; Al Azhar University); Khorshid, Khaled Moustafa (Al Azhar University); Hassan, Mohamed Sobhy (Al Azhar University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1174677614,33 Built Environment and Design; 3301 Architecture; 3302 Building; 46 Information and Computing Sciences,11 Sustainable Cities and Communities
1784,pub.1157861280,10.1088/1755-1315/1176/1/012027,,,A real estate life cycle meta-instrument assessing and enabling sustainable decision-making and management for real estate owners and stakeholders,"There is a need for real estate lifecycle instruments to address the new regulations. So far, no instrument includes all sustainability dimensions in all phases of real estate, due to the heterogeneity of the underlying data. In addition, the leverage of the digital transformation in the sustainability transition is yet to be addressed. The aim of this study is how a meta-instrument should be structured to overcome the existing contradictory challenges in sustainability and to enable sustainable decision-making and management for real estate owners. This study examines this question by applying the following methodological approach: 61 literature studies were re-viewed, and concepts and systems were examined, which contain partial solutions at individual levels, be it for sustainability assessment, for the monetarization of sustainability aspects or for the maturity of technical systems. These instruments have their shortcomings as they only map individual aspects, but do not offer a comprehensive life cycle management solution for portfolio holders. Within the framework of this study, a new concept for a tool was developed, allowing to combine the various levels of real estate life cycle, sustainability, and digitalisation in a single holistic model. This multidimensional model was optimised using experts’ opinions collected in 2 workshops. The first results reveal the applicability of the developed instrument but remains difficult to manage by potential users. The novelty of the approach comes from considering the entire life cycle, technical and management processes enabled by digitalisation.",,,IOP Conference Series Earth and Environmental Science,,,,2023-05-01,2023,,2023-05-01,1176,1,012027,All OA; Gold,Article,"Wrase, Isabelle; Bernegger, Heinz; Meslec, Mihaela","Wrase, Isabelle (School of Life Sciences and Facility Management, Institute of Facility Management, ZHAW Zurich University of Applied Sciences, 8820 Wädenswil, Switzerland); Bernegger, Heinz (School of Life Sciences and Facility Management, Institute of Facility Management, ZHAW Zurich University of Applied Sciences, 8820 Wädenswil, Switzerland); Meslec, Mihaela (School of Life Sciences and Facility Management, Institute of Facility Management, ZHAW Zurich University of Applied Sciences, 8820 Wädenswil, Switzerland)",,"Wrase, Isabelle (Zurich University of Applied Sciences); Bernegger, Heinz (Zurich University of Applied Sciences); Meslec, Mihaela (Zurich University of Applied Sciences)",0,0,,0.0,https://iopscience.iop.org/article/10.1088/1755-1315/1176/1/012027/pdf,https://app.dimensions.ai/details/publication/pub.1157861280,41 Environmental Sciences; 4104 Environmental Management,
1773,pub.1139983026,10.1007/978-3-030-77340-3_3,,,Blockchain to the Rescue—Tokenization of Residential Real Estate in the Emerging Token Economy,"Blockchain technology allowing mass tokenization of assets represents the fundamental element of the ongoing industrial revolution. It helps asset owners to draft unique and tailored product offerings with access to broad groups of investors, exit opportunities and limited risk of fraud. Nevertheless, potential hazards to the process and the very concept exist. The near perspective of a private stablecoin threatening the financial system puts pressure on governments, regulators and the banking system to adopt the revolution rather than oppose it. Tokenization of residential real estate assets opens vast opportunities for inclusion of traditional financial institutions in the process via oracle services, as the quality of data exposed to the asymmetry of information and other factors particular to this market segment is crucial. The author believes that retail banks should further leverage their role in the economy, given their business experience, local expertise or trust, and drafts a concept of the Oracle Bank operating at the crossroads of the physical and digital worlds. This organization should emerge from the unstoppable process of the financial paradigm shift. The discussion on the institutional adoption of residential property tokenization should not be limited to the security of transactions but reflect other aspects of the inevitable redefinition of the banking sector’s role in the emerging token economy, with residential real estate at the focus point of future socio-economic development plans.",,,Springer Proceedings in Business and Economics,"Digitalization, Digital Transformation and Sustainability in the Global Economy","Tim A. Herberger, Jörg J. Dötsch",,2021-07-28,2021,2021-07-28,2021,,,21-35,Closed,Chapter,"Kasprzak, Piotr","Kasprzak, Piotr (pkasprzak.eu Strategy & Innovation, Alicante, Spain; SGH Warsaw School of Economics, College of Business Administration, Innovative City Department, Warsaw, Poland)","Kasprzak, Piotr (pkasprzak.eu Strategy & Innovation, Alicante, Spain; SGH Warsaw School of Economics)","Kasprzak, Piotr (pkasprzak.eu Strategy & Innovation, Alicante, Spain; SGH Warsaw School of Economics)",6,6,,2.8,,https://app.dimensions.ai/details/publication/pub.1139983026,"35 Commerce, Management, Tourism and Services; 3502 Banking, Finance and Investment; 38 Economics; 3801 Applied Economics",
1770,pub.1184305953,10.29121/shodhkosh.v5.i6.2024.3640,,,GREEN IOT FOR SMART HOMES: REDUCING ENERGY CONSUMPTION AND ENHANCING SUSTAINABILITY,"This research paper explores the perceptions of employees in the real estate and IT sectors regarding the impact of Green Internet of Things (IoT) technologies on energy consumption and sustainability in smart homes. Utilizing a quantitative methodology, the study administered structured questionnaires to 345 respondents to gather data on their views of the effectiveness of Green IoT devices in reducing energy usage and enhancing environmental sustainability. The analysis was conducted using one-sample t-tests to compare the responses against a neutral benchmark, revealing significant perceptions of Green IoT’s contributions. The findings indicate a robust consensus among participants that Green IoT technologies significantly lower energy consumption and effectively manage energy resources, with notable impacts on reducing household energy bills and overall energy usage. Additionally, respondents overwhelmingly agreed that Green IoT plays a crucial role in making smart homes more environmentally sustainable and in promoting sustainable urban development. These perceptions underscore the potential of Green IoT to not only enhance the efficiency and functionality of smart homes but also to contribute significantly to broader environmental sustainability goals. The study's implications extend to policymakers, urban planners, technology developers, and real estate professionals, suggesting that supportive measures and continued innovation in Green IoT could accelerate the transition to more sustainable urban environments. The conclusions also advocate for future research to explore the long-term impacts of Green IoT technologies and their integration into different socio-economic and geographic contexts.",,,ShodhKosh Journal of Visual and Performing Arts,,,,2024-06-30,2024,2024-06-30,,5,6,,Closed,Article,"Ubarhande, Kavita; Vanarse, Shubhangi","Ubarhande, Kavita (); Vanarse, Shubhangi ()",,"Ubarhande, Kavita (); Vanarse, Shubhangi ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1184305953,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services",11 Sustainable Cities and Communities; 7 Affordable and Clean Energy
1748,pub.1132629985,10.1201/9781003151944-24,,,Envision Charlotte: Energy Big Data at Community Scale,"Envision Charlotte is the ultimate big data energy and analytics project that leverages millions of square feet of near real time energy usage pumped through wired and wireless networks into the cloud and back out to data bases, web sites, social media and digital signage. Along with unprecedented sustainability, economic and quality-of-life improvements Envision Charlotte is creating the model for how community stakeholders can work together including government, business, real estate owners, utilities and academia as well as solution partners. Unlike many other Smart community initiatives that implore or require private building owners to invest capital infrastructure in their buildings as part of a coordinated effort, Envision Charlotte took a different approach. At the heart of the community are the tens of thousands of building occupants who impact energy and also take the training and experience of Envision Charlotte with them wherever they go.",,,,Energy and Analytics,,,2020-11-26,2020,2020-11-26,,,,329-334,Closed,Chapter,"Shircliff, Tom","Shircliff, Tom (Chair, Envision Charlotte and Principal, Intelligent Buildings, LLC)",,"Shircliff, Tom (Chair, Envision Charlotte and Principal, Intelligent Buildings, LLC)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1132629985,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,
1737,pub.1169514266,10.3390/app14052209,,,The Impacts of Open Data and eXplainable AI on Real Estate Price Predictions in Smart Cities,"In the rapidly evolving landscape of urban development, where smart cities increasingly rely on artificial intelligence (AI) solutions to address complex challenges, using AI to accurately predict real estate prices becomes a multifaceted and crucial task integral to urban planning and economic development. This paper delves into this endeavor, highlighting the transformative impact of specifically chosen contextual open data and recent advances in eXplainable AI (XAI) to improve the accuracy and transparency of real estate price predictions within smart cities. Focusing on Lisbon’s dynamic housing market from 2018 to 2021, we integrate diverse open data sources into an eXtreme Gradient Boosting (XGBoost) machine learning model optimized with the Optuna hyperparameter framework to enhance its predictive precision. Our initial model achieved a Mean Absolute Error (MAE) of EUR 51,733.88, which was significantly reduced by 8.24% upon incorporating open data features. This substantial improvement underscores open data’s potential to boost real estate price predictions. Additionally, we employed SHapley Additive exPlanations (SHAP) to address the transparency of our model. This approach clarifies the influence of each predictor on price estimates and fosters enhanced accountability and trust in AI-driven real estate analytics. The findings of this study emphasize the role of XAI and the value of open data in enhancing the transparency and efficacy of AI-driven urban development, explicitly demonstrating how they contribute to more accurate and insightful real estate analytics, thereby informing and improving policy decisions for the sustainable development of smart cities.",The authors would like to express their gratitude to Confidencial Imobiliário for graciously providing the real estate transactions data that supported this work.,"This research was funded by FCT—Fundação para a Ciência e Tecnologia, I.P. (Portugal), under research grant UIDB/04152/2020—Centro de Investigação em Gestão de Informação (MagIC).",Applied Sciences,,,,2024-03-06,2024,2024-03-06,,14,5,2209,All OA; Gold,Article,"Trindade Neves, Fátima; Aparicio, Manuela; de Castro Neto, Miguel","Trindade Neves, Fátima (NOVA Information Management School (NOVA IMS), Universidade Nova de Lisboa (UNL), Campus de Campolide, 1070-312 Lisboa, Portugal); Aparicio, Manuela (NOVA Information Management School (NOVA IMS), Universidade Nova de Lisboa (UNL), Campus de Campolide, 1070-312 Lisboa, Portugal); de Castro Neto, Miguel (NOVA Information Management School (NOVA IMS), Universidade Nova de Lisboa (UNL), Campus de Campolide, 1070-312 Lisboa, Portugal)","Trindade Neves, Fátima (Universidade Nova de Lisboa)","Trindade Neves, Fátima (Universidade Nova de Lisboa); Aparicio, Manuela (Universidade Nova de Lisboa); de Castro Neto, Miguel (Universidade Nova de Lisboa)",9,9,,,https://www.mdpi.com/2076-3417/14/5/2209/pdf?version=1709731075,https://app.dimensions.ai/details/publication/pub.1169514266,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 46 Information and Computing Sciences",11 Sustainable Cities and Communities
1704,pub.1169007761,10.4018/979-8-3693-0712-0.ch005,,,Investing in Artificial Intelligence (AI) for Business Leaders to Enhance Decision-Making,"Decision-making is a high-risk process for businesses' life cycle worldwide. Wrong decisions by business leaders may lead to business closure in critical situations for all firms, including small and medium-sized enterprises. Leaders invest in artificial intelligence to improve their decision-making capabilities and contribute to their businesses' sustainability. Grounded in Herbert Simon's decision-making theory, the purpose of this chapter's multiple case study was to explore why artificial intelligence may enhance business leaders' decision-making. Three business leaders from different organizations in the United States and UAE's real estate properties industry participated in this research. Data were collected through semi-structured interviews and from a review of previous literature. A key recommendation for firms is to invest in artificial intelligence. Artificial intelligence may allow business leaders to improve decision-making, reduce the potential risk of closure, extend business opportunities, and positively contribute to communities' stability and growth.",,,"Advances in Logistics, Operations, and Management Science",Complex AI Dynamics and Interactions in Management,Paula Cristina Nunes Figueiredo,,2024-02-23,2024,,,,,91-115,Closed,Chapter,"Sedky, Ahmed","Sedky, Ahmed (Walden University, USA)",,"Sedky, Ahmed (Walden University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1169007761,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 3507 Strategy, Management and Organisational Behaviour; 50 Philosophy and Religious Studies; 5001 Applied Ethics",
1704,pub.1163239062,10.3390/su151612288,,,Social and Financial Sustainability of Real Estate Investment: Evaluating Public Perceptions towards Blockchain Technology,"Real estate markets play a crucial role in the economy, providing opportunities for investment and housing. However, there are several challenges in both direct and indirect investment mechanisms affecting its social and financial sustainability. These challenges include high costs, lengthy processes, limited transparency, and restricted investor control. Additionally, the dominance of large investors in the market intensifies these issues, creating barriers to smaller investors. This raises concerns around social inequality and sustainability among small investors, that represent, in number, the largest share of investors. Blockchain technology has emerged as a possible solution to address these issues in the real estate sector, with the potential to improve its long term social and financial sustainability. Features such as smart contracts and tokenization can enhance efficiency, transparency, security, and accessibility in property transactions. In the case of smart contracts, these enable self-executing and automated agreements, and tokenization allows for fractional ownership and increased liquidity. To assess the knowledge and perceptions of professionals in the real estate sector and evaluate the possible impact of the technology in the market, a survey-based methodology was followed. It targeted individuals actively involved in the industry, including professionals from real estate investment companies and real estate agencies. The data revealed that most professionals in the Portuguese real estate market have little to no knowledge about blockchain technology. Yet, those who possess knowledge recognize the potential benefits it can bring to the industry. This lack of awareness can be attributed to the relatively recent emergence of blockchain and its limited discussion within the real estate sector.",,João Fragoso Januário and Carlos Oliveira Cruz are grateful for the Foundation for Science and Technology’s support through funding UIDB/04625/2020 from the research unit CERIS.,Sustainability,,,,2023-08-11,2023,2023-08-11,,15,16,12288,All OA; Gold,Article,"Baptista, Nuno; Januario, Joao Fragoso; Cruz, Carlos Oliveira","Baptista, Nuno (Instituto Superior Técnico, Universidade de Lisboa, 1049-001 Lisbon, Portugal;, nuno.baptista@tecnico.ulisboa.pt); Januario, Joao Fragoso (CERIS, Instituto Superior Técnico, Universidade de Lisboa, 1049-001 Lisbon, Portugal;, joaodfjanuario@tecnico.ulisboa.pt); Cruz, Carlos Oliveira (CERIS, Instituto Superior Técnico, Universidade de Lisboa, 1049-001 Lisbon, Portugal;, joaodfjanuario@tecnico.ulisboa.pt)","Cruz, Carlos Oliveira (University of Lisbon)","Baptista, Nuno (University of Lisbon); Januario, Joao Fragoso (University of Lisbon); Cruz, Carlos Oliveira (University of Lisbon)",7,7,,7.43,https://www.mdpi.com/2071-1050/15/16/12288/pdf?version=1691811920,https://app.dimensions.ai/details/publication/pub.1163239062,"35 Commerce, Management, Tourism and Services; 3504 Commercial Services; 38 Economics; 3801 Applied Economics",
1696,pub.1182687053,10.37745/ejaafr.2013/vol12n103251,,,Financial Sustainability and Technology Integration in Oil & Gas Cooperatives: Opportunities and Challenges,"The oil and gas sector remains a critical component of the global economy, contributing significantly to energy supply, employment, and economic development. However, with growing environmental concerns, market volatility, and operational complexities, maintaining sustainable operations has become increasingly challenging for industry players. This paper delves into the role of financial sustainability and technology integration within oil and gas cooperatives, focusing on the opportunities and challenges that arise from this dual approach. The paper highlights the importance of cooperatives in addressing these challenges by ensuring operational efficiency, fostering innovation, and promoting sustainable development. The integration of advanced technologies such as Artificial Intelligence (AI) and the Internet of Things (IoT) offers substantial benefits for cooperatives operating in the oil and gas sector. These technologies enable organizations to optimize resource allocation, streamline operational workflows, and implement predictive maintenance models to reduce downtime and equipment failure. Furthermore, IoT-based monitoring systems ensure real-time visibility of key operational metrics, allowing for proactive risk management. Financial sustainability, on the other hand, involves implementing robust financial models to manage cash flows effectively, forecast economic risks, and align business strategies with market demands. The interplay between financial sustainability and technology integration allows cooperatives to maximize profitability while reducing environmental impact, contributing to broader sustainability goals. A case study on Shell Nigeria’s Cooperative Society in Port Harcourt is presented to provide practical insights into the application of these principles. The study demonstrates how Shell’s cooperative has utilized IoT-based solutions and predictive financial models to ensure sustainable growth and efficient project execution. The cooperative plays a pivotal role in managing employees’ thrift and loan operations, generating significant value through real estate investments and technology-driven initiatives. By adopting innovative tools and sustainable practices, the cooperative not only ensures operational resilience but also contributes to socio-economic development in the communities it serves. Mathematical models, such as Net Present Value (NPV) analysis, are employed to illustrate the financial optimization strategies used by Shell Nigeria’s cooperative in evaluating project profitability. Diagrams depicting the integration of technology and financial systems further highlight the efficiency and effectiveness of this approach. Through these models, the paper demonstrates how financial decision-making is enhanced, ensuring that investments align with long-term sustainability goals. This study explores the broader implications of integrating technology with financial sustainability in oil and gas cooperatives. It emphasizes the importance of building public-private partnerships to attract investment and foster technological innovation. Additionally, the paper discusses the regulatory landscape and the need for cooperatives to align with global sustainability standards. The findings suggest that cooperatives in the oil and gas sector have a unique opportunity to drive economic resilience and environmental stewardship through effective financial management and advanced technology deployment. The paper provides actionable recommendations for cooperatives seeking to achieve financial sustainability and operational efficiency through technology integration. These recommendations include upskilling employees, enhancing data management capabilities, and establishing strategic partnerships to overcome challenges. The research underscores the importance of cooperatives in achieving sustainable development within the oil and gas sector, making a compelling case for aligning business strategies with emerging technologies and financial best practices. This approach ensures long-term resilience and contributes to broader national and global sustainability goals.",,,European Journal of Accounting Auditing and Finance Research,,,,2024-10-15,2024,2024-10-15,2024-10-26,12,10,32-51,All OA; Gold,Article,"Tijani, Blessyn Kanmi","Tijani, Blessyn Kanmi ()",,"Tijani, Blessyn Kanmi ()",0,0,,,https://doi.org/10.37745/ejaafr.2013/vol12n103251,https://app.dimensions.ai/details/publication/pub.1182687053,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour","11 Sustainable Cities and Communities; 12 Responsible Consumption and Production; 7 Affordable and Clean Energy; 8 Decent Work and Economic Growth; 9 Industry, Innovation and Infrastructure"
